Country Name,GDPperCapita2013,GDPRank
Luxembourg,110697.0291,1
Norway,100818.5032,2
Qatar,93714.06338,3
Macao,91376.02254,4
Switzerland,84815.40701,5
Australia,67458.35541,6
Sweden,60430.21558,7
Denmark,59831.69556,8
Singapore,55182.48279,9
United States,53041.98141,10
North America,52939.84089,11
Kuwait,52197.34134,12
Canada,51958.38124,13
Netherlands,50793.14296,14
Austria,50546.6975,15
Ireland,50503.4228,16
Finland,49146.64663,17
Iceland,47461.18559,18
Belgium,46877.98625,19
Germany,46268.64107,20
United Arab Emirates,43048.85015,22
France,42503.30359,23
United Kingdom,41787.46798,24
New Zealand,41555.83441,25
Japan,38633.70806,27
Brunei,38563.31451,28
Hong Kong,38123.52212,29
Israel,36050.69793,31
Italy,35925.87748,32
European Union,35438.4879,33
Spain,29863.17672,34
Puerto Rico,28528.9971,35
South Korea,25976.95283,36
Saudi Arabia,25961.80842,37
Cyprus,25248.98107,39
Bahrain,24689.10563,40
Slovenia,23289.33573,41
Malta,22779.9105,42
Bahamas,22312.08297,43
Greece,21956.41154,44
Oman,21929.01457,45
Portugal,21733.07306,46
Equatorial Guinea,20581.60594,48
Czech Republic,19844.76165,49
Estonia,18783.05871,50
Trinidad and Tobago,18372.90432,51
Slovak Republic,18046.84318,52
Uruguay,16350.72817,53
Seychelles,16185.89948,54
Chile,15732.31377,55
Lithuania,15537.91894,56
Latvia,15375.44564,57
Argentina,14715.18002,58
Russia,14611.70078,59
Venezuela,14414.75353,60
St. Kitts and Nevis,14132.80188,61
Poland,13647.9647,62
Kazakhstan,13609.75338,63
Croatia,13607.51388,64
Hungary,13480.91026,66
Antigua and Barbuda,13342.085,67
Libya,11964.7307,68
Palau,11810.08701,69
Gabon,11571.08292,70
Brazil,11208.08274,71
Panama,11036.80739,72
Turkey,10971.65631,73
Malaysia,10538.05789,75
Mexico,10307.28304,76
Costa Rica,10184.60567,77
Lebanon,9928.038098,78
Suriname,9825.743921,79
Romania,9499.205679,81
Mauritius,9202.517324,82
Turkmenistan,7986.698884,85
Grenada,7890.513319,86
Colombia,7831.215313,87
Azerbaijan,7811.789819,88
Belarus,7575.48211,91
Bulgaria,7498.831484,92
St. Lucia,7328.370692,94
Botswana,7315.019289,95
Dominica,7175.626941,96
Montenegro,7106.861774,97
Iraq,6862.495681,98
China,6807.430824,99
Maldives,6665.767695,100
Peru,6661.591112,101
South Africa,6617.911609,102
St. Vincent and the Grenadines,6485.679146,103
Serbia,6353.964741,104
Ecuador,6002.885459,105
Dominican Republic,5878.996721,106
Angola,5783.36676,108
Thailand,5778.977216,109
Namibia,5693.129154,110
Algeria,5360.701146,112
Jamaica,5289.967803,113
Jordan,5214.197267,114
Belize,4893.926635,115
Macedonia,4838.462105,117
Iran,4763.303309,119
Bosnia and Herzegovina,4661.764245,120
Albania,4659.340601,121
Tonga,4426.944581,122
Fiji,4375.406022,123
Tunisia,4316.685695,125
Paraguay,4264.650642,126
Samoa,4212.363465,127
Mongolia,4056.397839,128
Ukraine,3900.465376,129
Tuvalu,3880.352322,130
Kosovo,3877.170636,131
El Salvador,3826.082486,132
Cabo Verde,3767.115364,133
Guyana,3739.469995,134
Marshall Islands,3627.210548,135
Georgia,3605.183724,136
Armenia,3504.766758,138
Guatemala,3477.890061,139
Indonesia,3475.250474,140
Egypt,3314.462928,141
Sri Lanka,3279.89139,142
Vanuatu,3276.734258,143
Congo (Brazzaville),3167.045322,144
Morocco,3092.606545,145
Micronesia,3054.068122,146
Swaziland,3034.223184,147
Nigeria,3005.513796,148
Bolivia,2867.639791,149
Philippines,2765.084587,150
Bhutan,2362.581737,151
Honduras,2290.780533,152
Moldova,2239.286026,153
Papua New Guinea,2088.352257,154
Solomon Islands,1953.557318,155
Vietnam,1910.512818,156
Uzbekistan,1878.094921,157
Ghana,1858.242598,158
Nicaragua,1851.105852,159
Zambia,1844.799139,160
Sudan,1753.38091,161
Djibouti,1668.336703,164
Laos,1660.706031,165
Kiribati,1650.707224,166
Sao Tome and Principe,1609.823339,167
Ivory Coast,1528.937539,169
India,1498.872175,170
Yemen,1473.099564,171
Cameroon,1328.640205,173
Pakistan,1275.301817,174
Kyrgyzstan,1263.450172,175
Kenya,1245.512041,176
Lesotho,1125.586427,177
Mauritania,1068.974597,178
Chad,1053.662501,179
Senegal,1046.586426,180
South Sudan,1044.991678,181
Tajikistan,1036.583276,182
Cambodia,1006.839744,183
Bangladesh,957.824266,184
Zimbabwe,953.3806071,185
Haiti,819.9039143,186
Comoros,814.9571488,187
Benin,804.6924986,188
Mali,715.133813,189
Tanzania,694.7711797,190
Nepal,694.1047943,191
Burkina Faso,683.9484018,192
Sierra Leone,678.9609045,193
Afghanistan,664.7645892,194
Rwanda,638.6657954,195
Togo,636.43645,196
Mozambique,605.0341744,197
Uganda,571.9600416,198
Guinea-Bissau,563.7527714,199
Eritrea,543.8219083,200
Guinea,523.1190322,201
Ethiopia,505.0457458,202
"Gambia, The",488.5655946,203
Congo (Kinsasha),484.2114713,204
Madagascar,462.9689428,205
Liberia,454.3374834,206
Niger,415.4173218,207
Central African Republic,333.1968806,208
Burundi,267.1093219,209
Malawi,226.4551027,210
Aruba,,
Andorra,,
American Samoa,,
Bermuda,,
Barbados,,
Channel Islands,,
Cuba,,
Curacao,,
Cayman Islands,,
Faeroe Islands,,
Liechtenstein,,
St. Martin ,,
Monaco,,
Myanmar,,
Northern Mariana Islands,,
New Caledonia,,
North Korea,,
French Polynesia,,
San Marino,,
Somalia,,
Syria,,
Turks and Caicos Islands,,
Timor-Leste,,
West Bank and Gaza,,
